,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
18,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.333,0.0,0.0,0.0,0.0,0.5,True
19,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Jose Suarez,0,Angel Stadium,4,660761,4.04,8.52,8.81,1.38,.244,0.0,0.0,0.25,0.0,0.0,0.25,True
20,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.10,7.96,1.42,.280,0.0,0.0,0.5,0.25,0.25,0.0,True
21,22581,Alejandro Kirk,TOR,23,0.302,0.384,0.457,0.856,672386,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.167,0.0,0.25,0.667,0.0,0.2,False
22,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.333,0.0,0.0,0.0,0.0,0.6,True
23,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.358,0.504,0.784,665489,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.2,0.333,0.5,0.333,0.25,0.5,True
24,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.2,0.0,0.4,0.0,0.0,0.25,True
25,16505,Matt Chapman,TOR,29,0.24,0.32,0.47,0.737,656305,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.333,0.667,0.0,0.333,0.667,0.333,False
26,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.10,7.96,1.42,.280,0.333,0.5,0.5,0.4,0.0,0.5,True
27,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Bryse Wilson,0,PNC Park,10,669060,5.93,11.10,6.06,1.51,.306,0.0,0.25,0.0,0.6,0.25,0.0,True
28,18577,Ke'Bryan Hayes,PIT,25,0.251,0.323,0.358,0.816,663647,134,Corbin Burnes,1,PNC Park,10,669203,2.39,5.85,11.39,0.92,.182,0.0,0.0,0.333,0.0,0.25,0.5,False
29,18568,Luis Arraez,MIN,25,0.332,0.398,0.442,0.9329999999999999,650333,142,Matt Manning,1,Target Field,26,666159,3.24,9.00,6.12,1.32,.269,0.333,0.2,0.25,0.2,0.667,0.0,True
30,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.375,0.25,0.0,0.25,0.5,0.25,False
31,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Jameson Taillon,0,Yankee Stadium,6,592791,3.95,8.50,7.76,1.14,.246,0.214,0.333,0.25,0.333,0.0,0.0,True
32,27506,Ha-seong Kim,SDP,26,0.249,0.325,0.374,0.83,673490,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.10,7.96,1.42,.280,0.0,0.0,0.333,0.333,0.667,0.25,True
33,17548,Taylor Ward,LAA,28,0.266,0.356,0.453,0.782,621493,108,Cole Irvin,1,Angel Stadium,4,608344,2.92,7.59,6.13,1.03,.226,0.6,1.0,0.0,0.0,0.0,0.0,True
36,15112,Ryan McMahon,COL,27,0.243,0.339,0.401,0.753,641857,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.278,0.25,0.0,0.0,0.0,0.5,True
38,16472,Rhys Hoskins,PHI,29,0.248,0.338,0.484,0.7609999999999999,656555,143,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,.185,0.0,0.2,0.2,1.0,0.4,0.333,False
40,9241,Starling Marte,NYM,33,0.292,0.343,0.458,0.775,516782,121,Cory Abbott,0,Nationals Park,29,676265,5.94,8.10,8.64,1.56,.227,0.0,0.25,0.0,0.6,0.4,0.5,True
42,19612,Bo Bichette,TOR,24,0.262,0.302,0.433,0.7759999999999999,666182,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.111,0.25,0.0,0.0,0.5,0.25,True
43,12533,Marcus Semien,TEX,31,0.24,0.3,0.407,0.809,543760,140,Jordan Lyles,1,Globe Life Field,14,543475,4.35,10.01,7.25,1.44,.279,0.462,0.0,0.333,0.6,0.2,0.25,True
44,19755,Shohei Ohtani,LAA,27,0.253,0.345,0.494,0.738,660271,108,Cole Irvin,1,Angel Stadium,4,608344,2.92,7.59,6.13,1.03,.226,0.316,1.0,0.25,0.0,0.0,0.333,True
45,13066,Teoscar Hernandez,TOR,29,0.271,0.322,0.489,0.672,606192,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.111,0.25,0.333,0.0,0.0,0.0,True
46,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Brad Keller,1,Guaranteed Rate Field,23,641745,4.93,9.42,6.11,1.43,.268,0.219,0.4,0.25,0.5,0.333,0.4,True
47,17273,Jorge Mateo,BAL,27,0.23,0.277,0.404,0.698,622761,110,Spencer Howard,0,Globe Life Field,14,675921,7.41,11.95,7.65,1.73,.309,0.5,0.5,0.0,0.25,0.0,0.5,True
48,15518,Amed Rosario,CLE,26,0.284,0.318,0.407,0.823,642708,114,Zac Gallen,1,Progressive Field,7,668678,2.94,6.39,8.62,0.99,.197,0.25,0.5,0.2,0.2,0.25,0.0,False
49,12546,C.J. Cron,COL,32,0.277,0.33,0.513,0.775,543068,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.154,0.5,0.0,0.0,0.0,0.2,True
50,16478,Kyle Schwarber,PHI,29,0.211,0.314,0.501,0.72,656941,143,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,.185,0.2,0.2,0.25,0.2,0.4,0.0,False
51,5827,Wilmer Flores,SFG,30,0.252,0.337,0.44,0.8270000000000001,527038,137,Tyler Anderson,1,Oracle Park,9,542881,2.72,7.21,7.14,1.00,.219,0.385,0.5,0.25,0.6,0.0,0.25,True
52,10231,Jose Iglesias,COL,32,0.318,0.356,0.418,0.868,578428,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.375,0.25,0.333,0.5,0.667,0.0,True
53,13152,Jorge Polanco,MIN,28,0.234,0.346,0.409,0.7759999999999999,593871,142,Matt Manning,1,Target Field,26,666159,3.24,9.00,6.12,1.32,.269,0.0,0.4,0.0,0.0,0.0,0.0,True
55,20126,Dylan Carlson,STL,23,0.238,0.31,0.392,0.769,666185,138,Keegan Thompson,1,Busch Stadium,15,624522,3.36,8.36,7.82,1.24,.247,0.5,0.0,0.2,0.0,0.25,0.4,True
56,14551,Anthony Santander,BAL,27,0.263,0.342,0.463,0.807,623993,110,Spencer Howard,0,Globe Life Field,14,675921,7.41,11.95,7.65,1.73,.309,0.5,0.25,0.75,0.25,0.75,0.5,True
57,17907,Brendan Rodgers,COL,25,0.285,0.333,0.436,0.7829999999999999,663898,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.4,0.333,0.25,0.75,0.25,1.0,True
58,11477,Christian Yelich,MIL,30,0.256,0.361,0.382,0.779,592885,158,Bryse Wilson,0,PNC Park,10,669060,5.93,11.10,6.06,1.51,.306,0.333,0.4,0.4,0.5,0.5,0.5,True
60,19997,Santiago Espinal,TOR,27,0.263,0.313,0.378,0.8490000000000001,669289,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.4,0.333,0.0,0.0,0.333,0.25,False
61,15491,J.P. Crawford,SEA,27,0.254,0.333,0.353,0.877,641487,136,Jameson Taillon,0,Yankee Stadium,6,592791,3.95,8.50,7.76,1.14,.246,0.333,0.0,0.0,0.25,0.0,0.5,False
62,19363,Austin Hays,BAL,26,0.263,0.32,0.437,0.7759999999999999,669720,110,Spencer Howard,0,Globe Life Field,14,675921,7.41,11.95,7.65,1.73,.309,0.5,0.333,0.0,0.2,0.333,0.0,False
63,16997,Gleyber Torres,NYY,25,0.249,0.302,0.441,0.7340000000000001,650402,147,Logan Gilbert,1,Yankee Stadium,6,669302,3.47,8.57,8.30,1.23,.248,0.0,0.0,0.0,0.2,0.4,0.333,False
65,19326,Bryan Reynolds,PIT,27,0.253,0.338,0.441,0.753,668804,134,Corbin Burnes,1,PNC Park,10,669203,2.39,5.85,11.39,0.92,.182,0.25,0.0,0.0,0.0,0.0,0.0,False
66,8709,Elvis Andrus,OAK,33,0.237,0.298,0.365,0.807,462101,133,Jose Suarez,0,Angel Stadium,4,660761,4.04,8.52,8.81,1.38,.244,0.25,0.0,0.25,0.75,0.0,0.25,True
67,13602,Patrick Wisdom,CHC,30,0.22,0.318,0.441,0.667,621550,112,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.167,0.333,0.0,0.667,0.333,0.25,True
68,21618,Alec Bohm,PHI,25,0.292,0.327,0.408,0.8,664761,143,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,.185,0.667,0.8,0.0,0.4,0.4,0.5,False
70,15998,Cody Bellinger,LAD,26,0.21,0.267,0.402,0.762,641355,119,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.20,.254,0.0,0.0,0.5,0.0,0.2,0.25,True
71,18564,Trent Grisham,SDP,25,0.197,0.296,0.365,0.773,663757,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.10,7.96,1.42,.280,0.5,0.333,0.333,0.25,0.25,0.25,True
72,19339,Nicky Lopez,KCR,27,0.243,0.298,0.287,0.84,670032,118,Lucas Giolito,0,Guaranteed Rate Field,23,608337,4.92,10.01,10.09,1.49,.284,0.182,0.667,0.0,0.333,0.25,0.0,True
73,19238,Lourdes Gurriel Jr.,TOR,28,0.306,0.358,0.417,0.7959999999999999,666971,141,Drew Rasmussen,0,Tropicana Field,21,656876,2.96,8.08,7.39,1.17,.238,0.286,0.25,0.333,0.0,0.333,0.25,True
74,19290,Randy Arozarena,TBR,27,0.256,0.315,0.428,0.722,668227,139,Kevin Gausman,1,Tropicana Field,21,592332,2.91,9.56,10.48,1.23,.270,0.0,0.333,0.0,0.0,0.0,0.4,False
75,11265,Jonathan Schoop,DET,30,0.202,0.236,0.312,0.753,570731,116,Chris Archer,0,Target Field,26,502042,4.02,7.01,7.58,1.29,.212,0.364,0.0,0.333,0.0,0.25,0.5,True
76,6184,J.D. Martinez,BOS,34,0.281,0.346,0.443,0.715,502110,111,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,.191,0.5,0.25,0.5,0.0,0.0,0.0,False
77,18373,Ryan Mountcastle,BAL,25,0.255,0.299,0.435,0.721,663624,110,Spencer Howard,0,Globe Life Field,14,675921,7.41,11.95,7.65,1.73,.309,0.5,0.4,0.333,0.0,0.0,0.2,False
79,12979,Javier Baez,DET,29,0.224,0.266,0.379,0.6729999999999999,595879,116,Chris Archer,0,Target Field,26,502042,4.02,7.01,7.58,1.29,.212,0.529,0.333,0.2,0.5,0.0,0.25,True
80,26197,Andrew Vaughn,CHW,24,0.296,0.346,0.466,0.8270000000000001,683734,145,Brad Keller,1,Guaranteed Rate Field,23,641745,4.93,9.42,6.11,1.43,.268,0.273,0.5,0.0,0.333,0.0,0.0,True
81,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.482,0.7959999999999999,642133,158,Bryse Wilson,0,PNC Park,10,669060,5.93,11.10,6.06,1.51,.306,0.25,0.0,0.75,0.0,0.5,0.0,True
82,14813,Kyle Farmer,CIN,31,0.254,0.327,0.368,0.825,571657,113,Braxton Garrett,0,loanDepot park,20,666129,4.02,8.76,9.91,1.20,.250,0.333,0.25,0.0,0.5,0.0,0.0,False
83,13590,Jesse Winker,SEA,28,0.228,0.346,0.361,0.8170000000000001,608385,136,Jameson Taillon,0,Yankee Stadium,6,592791,3.95,8.50,7.76,1.14,.246,0.333,0.5,0.25,0.5,0.333,0.0,False
84,16512,Isiah Kiner-Falefa,NYY,27,0.265,0.31,0.311,0.893,643396,147,Logan Gilbert,1,Yankee Stadium,6,669302,3.47,8.57,8.30,1.23,.248,0.0,0.25,0.0,0.0,0.25,0.25,True
85,7859,Charlie Blackmon,COL,35,0.262,0.313,0.439,0.821,453568,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.235,0.333,0.25,0.333,0.0,0.25,False
86,14894,Tony Kemp,OAK,30,0.22,0.293,0.312,0.8759999999999999,643393,133,Jose Suarez,0,Angel Stadium,4,660761,4.04,8.52,8.81,1.38,.244,0.5,0.0,0.25,0.25,0.75,0.25,False
87,9847,Andrew McCutchen,MIL,35,0.253,0.324,0.398,0.802,457705,158,Bryse Wilson,0,PNC Park,10,669060,5.93,11.10,6.06,1.51,.306,0.286,0.25,0.5,0.0,0.333,0.4,False
88,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,Yu Darvish,0,Petco Park,31,506433,3.40,7.38,9.04,1.01,.220,0.2,0.25,0.0,0.0,0.0,0.2,False
89,15117,Hunter Dozier,KCR,30,0.246,0.311,0.41,0.731,641531,118,Lucas Giolito,0,Guaranteed Rate Field,23,608337,4.92,10.01,10.09,1.49,.284,0.2,0.0,0.2,0.0,0.0,0.0,True
90,10556,Cesar Hernandez,WSN,32,0.239,0.303,0.305,0.813,514917,120,Jacob deGrom,1,Nationals Park,29,594798,1.62,3.24,15.12,0.42,.109,0.222,0.0,0.0,0.5,0.25,0.333,True
91,4314,Joey Votto,CIN,38,0.217,0.335,0.391,0.7240000000000001,458015,113,Braxton Garrett,0,loanDepot park,20,666129,4.02,8.76,9.91,1.20,.250,0.0,0.5,0.5,0.5,0.25,0.25,False
92,18607,Jared Walsh,LAA,28,0.222,0.269,0.387,0.755,665120,108,Cole Irvin,1,Angel Stadium,4,608344,2.92,7.59,6.13,1.03,.226,0.091,0.0,0.0,0.0,0.0,0.25,True
93,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,Jordan Lyles,1,Globe Life Field,14,543475,4.35,10.01,7.25,1.44,.279,0.0,0.0,0.0,0.25,0.5,0.0,False
94,12179,Maikel Franco,WSN,29,0.231,0.258,0.347,0.7440000000000001,596748,120,Jacob deGrom,1,Nationals Park,29,594798,1.62,3.24,15.12,0.42,.109,0.24,0.0,0.0,0.25,0.0,0.333,False
95,2434,Nelson Cruz,WSN,41,0.233,0.316,0.34,0.703,443558,120,Jacob deGrom,1,Nationals Park,29,594798,1.62,3.24,15.12,0.42,.109,0.5,0.25,0.333,0.25,0.25,0.0,False
96,1744,Miguel Cabrera,DET,39,0.266,0.318,0.328,0.7440000000000001,408234,116,Chris Archer,0,Target Field,26,502042,4.02,7.01,7.58,1.29,.212,0.375,0.0,0.0,0.0,0.0,0.333,False
97,11737,Nick Castellanos,PHI,30,0.256,0.304,0.378,0.695,592206,143,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,.185,0.0,0.8,0.0,0.4,0.6,0.25,True
98,10324,Marcell Ozuna,ATL,31,0.211,0.261,0.391,0.742,542303,144,Nick Nelson,1,Truist Park,12,656793,4.18,7.66,9.23,1.35,.232,0.0,0.0,0.0,0.25,0.0,0.75,True
