,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
25,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.143,0.333,0.25,0.25,0.0,0.25,True
26,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.30,1.23,.248,0.375,0.0,0.25,0.333,0.5,0.0,True
27,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.30,1.23,.248,0.545,0.25,0.5,0.5,0.0,0.0,False
28,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.4,0.0,0.5,0.0,0.0,0.333,True
29,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Zack Wheeler,0,Citizens Bank Park,16,554430,2.63,7.25,9.73,1.03,.218,0.286,0.667,0.25,0.0,0.0,0.0,True
30,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,.230,0.5,0.25,0.25,0.25,0.0,0.0,True
31,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Jose Urena,1,American Family Field,18,570632,5.02,10.05,5.02,1.60,.289,0.25,0.167,0.5,0.5,0.0,0.2,True
32,18568,Luis Arraez,MIN,25,0.332,0.398,0.442,0.9329999999999999,650333,142,Michael Pineda,0,Comerica Park,25,501381,5.27,10.97,4.85,1.36,.301,0.667,0.0,0.25,0.333,0.2,0.0,True
33,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,Zack Wheeler,0,Citizens Bank Park,16,554430,2.63,7.25,9.73,1.03,.218,0.5,0.667,0.25,0.0,0.0,0.333,True
34,19287,Adolis Garcia,TEX,29,0.255,0.304,0.458,0.68,666969,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,.235,0.25,0.25,0.4,0.25,0.333,0.0,True
35,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Justin Verlander,1,T-Mobile Park,27,434378,1.85,6.15,8.87,0.86,.190,0.133,0.333,0.333,0.0,0.25,0.333,False
36,27506,Ha-seong Kim,SDP,26,0.249,0.325,0.374,0.83,673490,135,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,.230,0.5,0.0,0.25,0.5,0.25,0.25,False
38,15112,Ryan McMahon,COL,27,0.243,0.339,0.401,0.753,641857,115,Brandon Woodruff,0,American Family Field,18,605540,3.52,7.63,10.66,1.14,.226,0.0,0.0,0.5,0.25,0.667,0.5,False
39,17929,Cedric Mullins II,BAL,27,0.266,0.324,0.399,0.8170000000000001,656775,110,Gerrit Cole,1,Oriole Park at Camden Yards,30,543037,3.38,7.03,11.58,1.02,.211,0.263,0.5,0.0,0.0,0.2,0.5,True
40,16472,Rhys Hoskins,PHI,29,0.248,0.338,0.484,0.7609999999999999,656555,143,Marcus Stroman,1,Citizens Bank Park,16,573186,4.20,8.17,8.39,1.16,.239,0.091,0.25,0.0,0.25,0.0,0.0,False
41,17982,Ty France,SEA,27,0.294,0.363,0.455,0.8340000000000001,664034,136,Justin Verlander,1,T-Mobile Park,27,434378,1.85,6.15,8.87,0.86,.190,0.429,0.25,0.4,0.6,0.2,0.4,False
42,9241,Starling Marte,NYM,33,0.292,0.343,0.458,0.775,516782,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.417,0.5,0.5,0.25,0.4,0.0,False
43,13419,Christian Walker,ARI,31,0.213,0.313,0.456,0.774,572233,109,Anibal Sanchez,1,Chase Field,13,434671,7.20,10.20,6.60,1.60,.286,0.333,0.0,0.0,0.333,0.25,0.0,True
44,12533,Marcus Semien,TEX,31,0.24,0.3,0.407,0.809,543760,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,.235,0.333,0.4,0.667,0.5,0.0,0.0,True
45,3473,Anthony Rizzo,NYY,32,0.224,0.342,0.504,0.7959999999999999,519203,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.286,0.25,0.25,0.0,0.0,0.667,True
46,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Triston McKenzie,1,Guaranteed Rate Field,23,663474,3.14,6.35,8.29,0.97,.198,0.111,0.5,0.25,0.2,0.4,0.4,False
47,17273,Jorge Mateo,BAL,27,0.23,0.277,0.404,0.698,622761,110,Gerrit Cole,1,Oriole Park at Camden Yards,30,543037,3.38,7.03,11.58,1.02,.211,0.0,0.25,0.25,0.5,0.25,0.0,True
48,12546,C.J. Cron,COL,32,0.277,0.33,0.513,0.775,543068,115,Brandon Woodruff,0,American Family Field,18,605540,3.52,7.63,10.66,1.14,.226,0.333,0.167,0.5,0.25,0.333,0.4,True
49,14344,Matt Olson,ATL,28,0.248,0.337,0.483,0.741,621566,144,Patrick Sandoval,1,Truist Park,12,663776,3.42,9.00,9.54,1.49,.260,0.0,0.333,0.25,0.2,0.6,0.25,True
50,16478,Kyle Schwarber,PHI,29,0.211,0.314,0.501,0.72,656941,143,Marcus Stroman,1,Citizens Bank Park,16,573186,4.20,8.17,8.39,1.16,.239,0.429,0.25,0.0,0.2,0.0,0.0,False
51,5827,Wilmer Flores,SFG,30,0.252,0.337,0.44,0.8270000000000001,527038,137,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,.210,0.211,0.333,0.0,0.333,0.25,0.0,False
52,10231,Jose Iglesias,COL,32,0.318,0.356,0.418,0.868,578428,115,Brandon Woodruff,0,American Family Field,18,605540,3.52,7.63,10.66,1.14,.226,0.0,0.2,0.333,0.25,0.0,0.25,True
53,13152,Jorge Polanco,MIN,28,0.234,0.346,0.409,0.7759999999999999,593871,142,Michael Pineda,0,Comerica Park,25,501381,5.27,10.97,4.85,1.36,.301,0.0,0.0,0.5,0.5,0.0,0.0,True
54,16426,Thairo Estrada,SFG,26,0.268,0.317,0.416,0.815,642731,137,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,.210,0.333,0.5,0.333,0.25,0.333,0.2,False
55,20126,Dylan Carlson,STL,23,0.238,0.31,0.392,0.769,666185,138,Mike Minor,0,Great American Ball Park,8,501985,6.24,10.02,7.84,1.56,.276,0.333,0.5,0.167,1.0,0.667,0.0,True
56,14551,Anthony Santander,BAL,27,0.263,0.342,0.463,0.807,623993,110,Gerrit Cole,1,Oriole Park at Camden Yards,30,543037,3.38,7.03,11.58,1.02,.211,0.143,0.4,0.333,0.25,0.0,0.25,True
57,11477,Christian Yelich,MIL,30,0.256,0.361,0.382,0.779,592885,158,Jose Urena,1,American Family Field,18,570632,5.02,10.05,5.02,1.60,.289,0.167,0.25,0.5,0.0,0.333,1.0,True
59,15491,J.P. Crawford,SEA,27,0.254,0.333,0.353,0.877,641487,136,Justin Verlander,1,T-Mobile Park,27,434378,1.85,6.15,8.87,0.86,.190,0.4,0.2,0.0,0.4,0.25,0.25,True
60,13613,Ketel Marte,ARI,28,0.258,0.341,0.438,0.8059999999999999,606466,109,Anibal Sanchez,1,Chase Field,13,434671,7.20,10.20,6.60,1.60,.286,0.333,0.5,0.2,0.0,0.75,0.5,False
61,14162,Carlos Correa,MIN,27,0.263,0.339,0.425,0.7809999999999999,621043,142,Michael Pineda,0,Comerica Park,25,501381,5.27,10.97,4.85,1.36,.301,0.423,0.0,0.5,0.25,0.25,0.333,True
62,11445,Mark Canha,NYM,33,0.262,0.366,0.366,0.789,592192,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.4,0.0,0.333,0.0,0.25,0.25,False
63,19363,Austin Hays,BAL,26,0.263,0.32,0.437,0.7759999999999999,669720,110,Gerrit Cole,1,Oriole Park at Camden Yards,30,543037,3.38,7.03,11.58,1.02,.211,0.4,0.0,0.5,0.0,0.667,0.8,True
64,16997,Gleyber Torres,NYY,25,0.249,0.302,0.441,0.7340000000000001,650402,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.2,0.4,0.0,0.0,0.25,0.2,False
65,12144,Max Kepler,MIN,29,0.227,0.324,0.364,0.8140000000000001,596146,142,Michael Pineda,0,Comerica Park,25,501381,5.27,10.97,4.85,1.36,.301,0.5,0.0,0.25,0.0,0.667,1.0,True
67,8709,Elvis Andrus,OAK,33,0.237,0.298,0.365,0.807,462101,133,Matt Bush,1,Oakland Coliseum,19,456713,6.23,10.38,12.46,1.62,.313,0.0,0.25,0.333,0.333,0.25,0.25,True
68,5297,Aaron Hicks,NYY,32,0.223,0.345,0.312,0.7609999999999999,543305,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.0,0.0,0.667,0.0,0.5,0.0,False
69,15279,Garrett Cooper,MIA,31,0.273,0.348,0.422,0.792,643265,146,Jose Quintana,0,PNC Park,10,500779,2.25,6.00,9.75,1.00,.195,0.0,0.0,0.25,0.0,0.0,0.0,False
70,13602,Patrick Wisdom,CHC,30,0.22,0.318,0.441,0.667,621550,112,Zack Wheeler,0,Citizens Bank Park,16,554430,2.63,7.25,9.73,1.03,.218,0.0,0.25,0.0,0.0,0.25,0.0,True
71,21618,Alec Bohm,PHI,25,0.292,0.327,0.408,0.8,664761,143,Marcus Stroman,1,Citizens Bank Park,16,573186,4.20,8.17,8.39,1.16,.239,0.0,0.333,0.5,0.25,1.0,0.25,True
73,15998,Cody Bellinger,LAD,26,0.21,0.267,0.402,0.762,641355,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.0,0.25,0.0,0.25,0.0,0.0,True
74,18564,Trent Grisham,SDP,25,0.197,0.296,0.365,0.773,663757,135,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,.230,0.0,0.333,0.0,0.25,0.0,0.333,False
76,19290,Randy Arozarena,TBR,27,0.256,0.315,0.428,0.722,668227,139,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,.248,0.0,0.25,0.5,0.5,0.0,0.0,False
77,17027,Alex Verdugo,BOS,26,0.274,0.317,0.392,0.861,657077,111,Alek Manoah,1,Fenway Park,3,666201,2.56,7.16,8.15,1.02,.217,0.455,0.0,0.25,0.0,0.0,0.25,True
78,15223,Adam Frazier,SEA,30,0.243,0.307,0.311,0.8759999999999999,624428,136,Justin Verlander,1,T-Mobile Park,27,434378,1.85,6.15,8.87,0.86,.190,0.25,0.25,0.25,0.4,0.5,0.5,True
79,11265,Jonathan Schoop,DET,30,0.202,0.236,0.312,0.753,570731,116,Joe Ryan,1,Comerica Park,25,657746,3.95,7.71,8.75,1.13,.226,0.4,0.25,0.25,0.0,0.0,0.333,False
81,10681,Gio Urshela,MIN,30,0.268,0.309,0.439,0.805,570482,142,Michael Pineda,0,Comerica Park,25,501381,5.27,10.97,4.85,1.36,.301,0.167,0.333,0.25,0.0,0.0,0.667,True
82,18373,Ryan Mountcastle,BAL,25,0.255,0.299,0.435,0.721,663624,110,Gerrit Cole,1,Oriole Park at Camden Yards,30,543037,3.38,7.03,11.58,1.02,.211,0.2,0.0,0.25,0.2,0.333,0.2,False
84,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.2,0.0,0.333,0.6,0.0,0.4,False
85,12979,Javier Baez,DET,29,0.224,0.266,0.379,0.6729999999999999,595879,116,Joe Ryan,1,Comerica Park,25,657746,3.95,7.71,8.75,1.13,.226,0.0,0.0,0.6,0.0,0.0,0.5,True
86,7802,Miguel Rojas,MIA,33,0.232,0.286,0.331,0.852,500743,146,Jose Quintana,0,PNC Park,10,500779,2.25,6.00,9.75,1.00,.195,0.429,0.5,0.0,0.333,0.0,0.0,True
87,19566,Nathaniel Lowe,TEX,26,0.281,0.331,0.454,0.775,663993,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,.235,0.294,0.5,0.2,0.0,0.25,0.25,True
88,26197,Andrew Vaughn,CHW,24,0.296,0.346,0.466,0.8270000000000001,683734,145,Triston McKenzie,1,Guaranteed Rate Field,23,663474,3.14,6.35,8.29,0.97,.198,0.0,0.25,0.75,0.5,0.5,0.4,True
89,14813,Kyle Farmer,CIN,31,0.254,0.327,0.368,0.825,571657,113,Steven Matz,1,Great American Ball Park,8,571927,5.70,9.91,10.76,1.31,.269,0.0,0.5,0.0,0.333,0.2,0.25,False
90,13590,Jesse Winker,SEA,28,0.228,0.346,0.361,0.8170000000000001,608385,136,Justin Verlander,1,T-Mobile Park,27,434378,1.85,6.15,8.87,0.86,.190,0.143,0.25,0.0,0.25,0.4,0.4,False
91,16512,Isiah Kiner-Falefa,NYY,27,0.265,0.31,0.311,0.893,643396,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.154,0.25,1.0,0.25,0.25,0.25,True
92,7859,Charlie Blackmon,COL,35,0.262,0.313,0.439,0.821,453568,115,Brandon Woodruff,0,American Family Field,18,605540,3.52,7.63,10.66,1.14,.226,0.143,0.333,0.25,0.25,0.6,0.4,True
94,9847,Andrew McCutchen,MIL,35,0.253,0.324,0.398,0.802,457705,158,Jose Urena,1,American Family Field,18,570632,5.02,10.05,5.02,1.60,.289,0.313,0.25,0.0,0.25,0.2,0.4,False
95,19198,Yuli Gurriel,HOU,38,0.24,0.287,0.38,0.86,493329,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.30,1.23,.248,0.154,0.25,0.0,0.5,0.667,0.25,True
96,11342,Jesus Aguilar,MIA,32,0.238,0.285,0.386,0.745,542583,146,Jose Quintana,0,PNC Park,10,500779,2.25,6.00,9.75,1.00,.195,0.25,0.4,0.0,0.0,0.667,0.25,True
97,10556,Cesar Hernandez,WSN,32,0.239,0.303,0.305,0.813,514917,120,Madison Bumgarner,0,Chase Field,13,518516,4.13,9.74,6.49,1.40,.272,0.313,0.5,0.0,0.25,0.667,0.25,False
98,4314,Joey Votto,CIN,38,0.217,0.335,0.391,0.7240000000000001,458015,113,Steven Matz,1,Great American Ball Park,8,571927,5.70,9.91,10.76,1.31,.269,0.444,0.25,0.25,0.25,0.4,0.2,False
99,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,.235,0.0,0.0,0.25,0.0,0.0,0.0,False
100,12179,Maikel Franco,WSN,29,0.231,0.258,0.347,0.7440000000000001,596748,120,Madison Bumgarner,0,Chase Field,13,518516,4.13,9.74,6.49,1.40,.272,0.4,0.0,0.667,0.333,0.25,0.25,True
101,2434,Nelson Cruz,WSN,41,0.233,0.316,0.34,0.703,443558,120,Madison Bumgarner,0,Chase Field,13,518516,4.13,9.74,6.49,1.40,.272,0.0,0.0,0.5,0.25,0.2,0.25,False
102,1744,Miguel Cabrera,DET,39,0.266,0.318,0.328,0.7440000000000001,408234,116,Joe Ryan,1,Comerica Park,25,657746,3.95,7.71,8.75,1.13,.226,0.333,0.0,0.333,0.0,0.5,0.0,True
103,11737,Nick Castellanos,PHI,30,0.256,0.304,0.378,0.695,592206,143,Marcus Stroman,1,Citizens Bank Park,16,573186,4.20,8.17,8.39,1.16,.239,0.118,0.0,0.25,0.333,0.25,0.25,False
